[05-02-2017 17:02] - Запуск бота удалений.<br />
[05-02-2017 17:02] <u>Восстание гномов кент</u> - [userID=8159, countryID=3043546c8af35765a5e1785c7158f8a145, username=sysreg41789330495],<br />
[05-02-2017 17:02] <u>демоны ада кент</u> - [userID=8160, countryID=88f616ae7cddd704fd1c33e0756466db67, username=sysreg6491429917],<br />
[05-02-2017 17:02] <u>демоны ада жирдяй</u> - [userID=8188, countryID=a6c865077f2e9171b7073924fdfa818741, username=sysreg98528272612],<br />
[05-02-2017 17:02] <u>демоны ада ххх</u> - [userID=8152, countryID=6ef91e95252586e60e24dbdd5d84730b63, username=sysreg72867751633],<br />
[05-02-2017 17:02] <u>Восстание гномов шит</u> - [userID=8169, countryID=f372472baaf8a12bb8e8d6f5a86a7aa784, username=sysreg16686794022],<br />
[05-02-2017 17:02] <u>Пустошь нежити шит</u> - [userID=8171, countryID=ac76959a3b3e787d9398ed1785118de419, username=sysreg47975552501],<br />
[05-02-2017 17:02] <u>Восстание гномов жерев</u> - [userID=8174, countryID=51831168c2680c653e357e3b804f957845, username=sysreg84602871444],<br />
[05-02-2017 17:02] <u>Демоны ада жерев</u> - [userID=8175, countryID=43df9b5e22c60cf29dee851ef5cb3a2f54, username=sysreg55671241087],<br />
[05-02-2017 17:02] <u>Восстание гномов !!!-рф-!!!</u> - [userID=8183, countryID=eb249b0e47a6a70c0247edc80501a99451, username=sysreg70213286299],<br />
[05-02-2017 17:02] <u>Пустошь нежити !!!-рф-!!!</u> - [userID=8185, countryID=dd297f1629a5f2928da6f5ad9802f73723, username=sysreg50122742122],<br />
<br />Всего было проверено стран: <b>93</b>, из них было удалено: <b>10</b><br/>
