гектор|1334937458|nomail|Opera/9.80 (Windows NT 6.1; U; MRA 5.10 (build 5267); ru) Presto/2.10.229 Version/11.62|85.26.164.97|
гекторветер|1334937470|nomail|Opera/9.80 (Windows NT 6.1; U; MRA 5.10 (build 5267); ru) Presto/2.10.229 Version/11.62|85.26.164.97|
ветер28|1334937489|nomail|Opera/9.80 (Windows NT 6.1; U; MRA 5.10 (build 5267); ru) Presto/2.10.229 Version/11.62|85.26.164.97|
каракатица|1334947959|nomail|Opera/9.80 (Windows NT 5.1; U; MRA 5.7 (build 03790); ru) Presto/2.10.229 Version/11.62|178.76.234.30|
россия|1334956882|nomail|SAMSUNG-GT-B5722/B5722XXJA1 NetFront/3.5 Profile/MIDP-2.0 Configuration/CLDC-1.1|217.118.79.37|
рус|1334956905|nomail|SAMSUNG-GT-B5722/B5722XXJA1 NetFront/3.5 Profile/MIDP-2.0 Configuration/CLDC-1.1|217.118.79.37|
русак|1334956922|nomail|SAMSUNG-GT-B5722/B5722XXJA1 NetFront/3.5 Profile/MIDP-2.0 Configuration/CLDC-1.1|217.118.79.37|
еврей|1334956954|nomail|SAMSUNG-GT-B5722/B5722XXJA1 NetFront/3.5 Profile/MIDP-2.0 Configuration/CLDC-1.1|217.118.79.37|
еврей1|1334956970|nomail|SAMSUNG-GT-B5722/B5722XXJA1 NetFront/3.5 Profile/MIDP-2.0 Configuration/CLDC-1.1|217.118.79.37|
Грозо|1334960312|nomail|NokiaC2-00/2.0 (03.45) Profile/MIDP-2.1 Configuration/CLDC-1.1|217.212.230.78|
faz-il|1334975312|nomail|'M', 'Y' 'P', 'H', 'O', 'N', 'E' Browser/WAP2.0 Profile/MIDP-2.0 Configuration/CLDC-1.1|176.28.87.154|
|1334983918|nomail|NOKIA6120c/UC Browser8.0.4.121/28/444/UCWEB|217.118.81.244|
Ed377|1334983950|nomail|NOKIA6120c/UC Browser8.0.4.121/28/444/UCWEB|217.118.81.244|
Дракула|1334997608|nomail|? # ?|217.212.231.228|
FAVOR|1335003168|nomail|Nokia3120classic/2.0 (09.41) Profile/MIDP-2.1 Configuration/CLDC-1.1|212.93.105.3|
Buntarka|1335008580|nomail|SonyEricssonJ10i2|217.212.230.210|
Buntarka|1335008636|nomail|SonyEricssonJ10i2|217.212.230.210|
ЧёрТи Что А с Боку БанТик|1335008636|nomail|SonyEricssonJ10i2|217.212.230.210|
БанТик|1335008662|nomail|SonyEricssonJ10i2|217.212.230.210|
Макуська|1335008689|nomail|SonyEricssonJ10i2|217.212.230.210|
blatnoy|1335009324|nomail|Nokia6300|82.145.208.95|
blatnoyept|1335009339|nomail|Nokia6300|82.145.208.95|
Baku|1335033934|nomail|Nokia6300/2.0 (05.50) Profile/MIDP-2.0 Configuration/CLDC-1.1|176.28.81.3|
Майский жук|1335038771|nomail|NokiaC2-03/2.0 (07.29) Profile/MIDP-2.1 Configuration/CLDC-1.1  UNTRUSTED/1.0|83.149.37.37|
Fartoviy|1335083669|nomail|Nokia3110c|217.212.231.3|
Персий|1335094887|nomail|UNTRUSTED/1.0|217.212.231.212|
Так позырить|1335095475|nomail|Nokia2700c-2|80.239.243.194|
 позырить|1335095492|nomail|Nokia2700c-2|80.239.243.194|
CityBoy|1335101608|nomail|Opera/9.80 (Windows NT 5.1; U; ru) Presto/2.10.229 Version/11.61|77.244.114.10|
Пупсег|1335102893|nomail|NokiaC2-03/2.0 (07.29) Profile/MIDP-2.1 Configuration/CLDC-1.1 Mozilla/5.0 (Java; U; ru; nokiac2-03) UCBrowser8.2.1.144/70/352/UCWEB Mobile|31.192.105.96|
ARXANgELS|1335103960|nomail|SAMSUNG-GT-C3300K/C3300KXXJG8 NetFront/3.5 Profile/MIDP-2.0 Configuration/CLDC-1.1|80.83.238.69|
Богдан2054|1335116456|nomail|MAUI WAP Browser|88.154.184.146|
Богдан Киев|1335116501|nomail|MAUI WAP Browser|88.154.184.146|
ВаккуМ|1335118181|nomail|LG-KP500 Teleca/WAP2.0 MIDP-2.0/CLDC-1.1|82.145.210.7|
Trofimm88|1335134651|nomail|SonyEricssonJ108i|217.212.231.176|
Waranez|1335148302|nomail|Mozilla/5.0 (SymbianOS/9.4; U; Series60/5.0 Nokia5800d-1/60.0.003; Profile/MIDP-2.1 Configuration/CLDC-1.1; ru) AppleWebKit/525 (KHTML, like Gecko) NokiaBrowser/7.3.1.33|82.145.216.33|
|1335158741|nomail|Nokia5310XpressMusic|80.239.243.116|
Россия|1335158758|nomail|Nokia5310XpressMusic|80.239.243.116|
КровавыйВолк|1335160217|nomail|Nokia6303classic/2.0 (10.12) Profile/MIDP-2.1 Configuration/CLDC-1.1 Mozilla/5.0 AppleWebKit/420+ (KHTML, like Gecko) Safari/420+|159.160.36.139|
Норакс|1335160344|nomail|Nokia6303classic/2.0 (10.12) Profile/MIDP-2.1 Configuration/CLDC-1.1 Mozilla/5.0 AppleWebKit/420+ (KHTML, like Gecko) Safari/420+|159.160.36.139|
|1335173503|nomail|? # ?|82.145.211.133|
|1335173571|nomail|? # ?|82.145.211.133|
Кыргыстан|1335173571|nomail|? # ?|82.145.211.133|
Искандер@77|1335173607|nomail|? # ?|82.145.211.133|
|1335178162|nomail|NokiaC3-01/5.0 (05.65) Profile/MIDP-2.1 Configuration/CLDC-1.1 Mozilla/5.0 AppleWebKit/420+ (KHTML, like Gecko) Safari/420+|217.212.230.142|
|1335178174|nomail|NokiaC3-01/5.0 (05.65) Profile/MIDP-2.1 Configuration/CLDC-1.1 Mozilla/5.0 AppleWebKit/420+ (KHTML, like Gecko) Safari/420+|217.212.230.142|
!-Сила и Честь-!|1335178305|nomail|NokiaC3-01/5.0 (05.65) Profile/MIDP-2.1 Configuration/CLDC-1.1 Mozilla/5.0 AppleWebKit/420+ (KHTML, like Gecko) Safari/420+|217.212.230.142|
!-Сила и Честь-!|1335178401|nomail|NokiaC3-01/5.0 (05.65) Profile/MIDP-2.1 Configuration/CLDC-1.1 Mozilla/5.0 AppleWebKit/420+ (KHTML, like Gecko) Safari/420+|217.212.230.142|
!-Сила и Честь-!|1335178402|nomail|NokiaC3-01/5.0 (05.65) Profile/MIDP-2.1 Configuration/CLDC-1.1 Mozilla/5.0 AppleWebKit/420+ (KHTML, like Gecko) Safari/420+|217.212.230.142|
Сила и Честь|1335178439|nomail|NokiaC3-01/5.0 (05.65) Profile/MIDP-2.1 Configuration/CLDC-1.1 Mozilla/5.0 AppleWebKit/420+ (KHTML, like Gecko) Safari/420+|217.212.230.142|
Сила и Честь|1335178490|nomail|NokiaC3-01/5.0 (05.65) Profile/MIDP-2.1 Configuration/CLDC-1.1 Mozilla/5.0 AppleWebKit/420+ (KHTML, like Gecko) Safari/420+|217.212.230.142|
Сила и Честь|1335178490|nomail|NokiaC3-01/5.0 (05.65) Profile/MIDP-2.1 Configuration/CLDC-1.1 Mozilla/5.0 AppleWebKit/420+ (KHTML, like Gecko) Safari/420+|217.212.230.142|
!-Сила и Честь-!|1335178531|nomail|NokiaC3-01/5.0 (05.65) Profile/MIDP-2.1 Configuration/CLDC-1.1 Mozilla/5.0 AppleWebKit/420+ (KHTML, like Gecko) Safari/420+|217.212.230.142|
Сила и Честь|1335178531|nomail|NokiaC3-01/5.0 (05.65) Profile/MIDP-2.1 Configuration/CLDC-1.1 Mozilla/5.0 AppleWebKit/420+ (KHTML, like Gecko) Safari/420+|217.212.230.142|
Igor|1335178763|nomail|NokiaC3-01/5.0 (05.65) Profile/MIDP-2.1 Configuration/CLDC-1.1 Mozilla/5.0 AppleWebKit/420+ (KHTML, like Gecko) Safari/420+|217.212.230.142|
Ukraine|1335178791|nomail|NokiaC3-01/5.0 (05.65) Profile/MIDP-2.1 Configuration/CLDC-1.1 Mozilla/5.0 AppleWebKit/420+ (KHTML, like Gecko) Safari/420+|217.212.230.142|
УПА|1335179363|nomail|NokiaC3-01/5.0 (05.65) Profile/MIDP-2.1 Configuration/CLDC-1.1 Mozilla/5.0 AppleWebKit/420+ (KHTML, like Gecko) Safari/420+|217.212.230.142|
ВЕЛИКАЯ ИМПЕРИЯ|1335179380|nomail|Opera/9.80 (Android 2.1-update1; Linux; Opera Mobi/ADR-1203051631; U; ru) Presto/2.10.254 Version/12.00|141.0.8.158|
