Kz_19_09|1321962315|nomail|Nokia6500c/2.0 (09.48) Profile/MIDP-2.1 Configuration/CLDC-1.1|149.27.49.68|
Kz.kuanish.94|1321962343|nomail|Nokia6500c/2.0 (09.48) Profile/MIDP-2.1 Configuration/CLDC-1.1|149.27.49.68|
kuanish|1321962359|nomail|Nokia6500c/2.0 (09.48) Profile/MIDP-2.1 Configuration/CLDC-1.1|149.27.49.68|
GRAMILA|1321962960|nomail|LG-GM200 Obigo/WAP2.0 MIDP-2.0/CLDC-1.1 UNTRUSTED/1.0|82.145.209.36|
Империя Тау|1321964002|nomail|Nokia6103|80.239.243.248|
Торин|1321964051|nomail|Nokia6103|80.239.243.248|
Fartik|1321964191|nomail|Nokia5220XpressMusic|82.145.209.78|
bess|1321968297|nomail|NokiaX2-00|80.239.243.155|
|1321968389|nomail|Mozilla/5.0 (Symbian/3; Series60/5.2 NokiaN8-00/011.012; Profile/MIDP-2.1 Configuration/CLDC-1.1 ) AppleWebKit/525 (KHTML, like Gecko) Version/3.0 BrowserNG/7.2.7.2 3gpp-gba|82.145.217.49|
Империа|1321968414|nomail|Mozilla/5.0 (Symbian/3; Series60/5.2 NokiaN8-00/011.012; Profile/MIDP-2.1 Configuration/CLDC-1.1 ) AppleWebKit/525 (KHTML, like Gecko) Version/3.0 BrowserNG/7.2.7.2 3gpp-gba|82.145.217.49|
Империа|1321968423|nomail|Mozilla/5.0 (Symbian/3; Series60/5.2 NokiaN8-00/011.012; Profile/MIDP-2.1 Configuration/CLDC-1.1 ) AppleWebKit/525 (KHTML, like Gecko) Version/3.0 BrowserNG/7.2.7.2 3gpp-gba|82.145.217.49|
Империа|1321968432|nomail|Mozilla/5.0 (Symbian/3; Series60/5.2 NokiaN8-00/011.012; Profile/MIDP-2.1 Configuration/CLDC-1.1 ) AppleWebKit/525 (KHTML, like Gecko) Version/3.0 BrowserNG/7.2.7.2 3gpp-gba|82.145.217.49|
Nekro|1321969938|nomail|Nokia2700c-2|82.145.208.195|
Lordaeron|1321971011|nomail|? # ?|82.145.210.180|
|1321971141|nomail|? # ?|82.145.210.180|
Lordaeron|1321971178|nomail|? # ?|82.145.210.180|
